loan_amnt,term,int_rate,grade,emp_length,home_ownership,annual_inc,loan_status,purpose,dti,delinq_2yrs,fico_range_low,fico_range_high,inq_last_6mths,pub_rec
24000.0, 36 months,11.22,B,8 years,RENT,88000.0,Charged Off,debt_consolidation,24.25,0.0,720.0,724.0,0.0,0.0
19200.0, 36 months,5.32,A,8 years,RENT,60000.0,Fully Paid,credit_card,17.84,0.0,720.0,724.0,0.0,0.0
7000.0, 36 months,5.32,A,10+ years,RENT,65000.0,Fully Paid,credit_card,3.18,2.0,700.0,704.0,0.0,0.0
20000.0, 36 months,12.59,C,2 years,RENT,80000.0,Fully Paid,debt_consolidation,23.36,0.0,665.0,669.0,2.0,0.0
1200.0, 36 months,8.49,B,,OWN,73000.0,Fully Paid,other,19.46,0.0,745.0,749.0,0.0,0.0
3000.0, 36 months,17.57,D,10+ years,MORTGAGE,50000.0,Fully Paid,moving,23.96,0.0,675.0,679.0,0.0,0.0
8000.0, 36 months,13.67,C,7 years,RENT,46000.0,Fully Paid,debt_consolidation,19.78,0.0,665.0,669.0,2.0,2.0
20000.0, 60 months,16.55,D,8 years,RENT,53900.0,Fully Paid,credit_card,33.87,0.0,670.0,674.0,0.0,0.0
16000.0, 60 months,16.55,D,3 years,MORTGAGE,70000.0,Fully Paid,credit_card,25.84,0.0,660.0,664.0,2.0,0.0
6000.0, 36 months,9.76,B,4 years,RENT,31000.0,Charged Off,credit_card,25.67,0.0,725.0,729.0,2.0,1.0
3000.0, 36 months,14.85,C,10+ years,RENT,70000.0,Fully Paid,other,8.81,0.0,700.0,704.0,1.0,0.0
4800.0, 36 months,10.64,B,< 1 year,RENT,62000.0,Fully Paid,debt_consolidation,20.87,2.0,700.0,704.0,1.0,0.0
25000.0, 60 months,15.77,D,6 years,MORTGAGE,58000.0,Charged Off,credit_card,20.57,0.0,705.0,709.0,0.0,0.0
8000.0, 36 months,5.32,A,8 years,MORTGAGE,85000.0,Fully Paid,debt_consolidation,13.55,0.0,785.0,789.0,0.0,0.0
7775.0, 36 months,17.57,D,10+ years,MORTGAGE,48000.0,Fully Paid,debt_consolidation,19.5,1.0,670.0,674.0,4.0,0.0
21000.0, 60 months,18.2,E,10+ years,RENT,78000.0,Charged Off,moving,22.98,1.0,670.0,674.0,0.0,0.0
