Amount Requested,Application Date,Loan Title,Risk_Score,Debt-To-Income Ratio,Zip Code,State,Employment Length,Policy Code
17500.0,2009-04-08,serena's loan,469.0,0%,935xx,CA,1 year,0.0
3000.0,2008-02-26,BrentSpots,695.0,41.6%,985xx,WA,2 years,0.0
15000.0,2007-11-08,LoisRyan,520.0,1.45%,139xx,NY,10+ years,0.0
18000.0,2009-01-26, ,709.0,37.47%,070xx,NJ,8 years,0.0
15000.0,2009-05-07, ,666.0,21.78%,770xx,TX,2 years,0.0
4000.0,2009-05-18,Credit re-finance,557.0,12.14%,217xx,MD,< 1 year,0.0
7000.0,2009-03-19, ,755.0,0%,484xx,MI,< 1 year,0.0
7000.0,2007-08-30,katmill,507.0,23.13%,853xx,AZ,5 years,0.0
5000.0,2008-03-21,Study abroad,653.0,32.82%,604xx,IL,10+ years,0.0
5000.0,2007-08-12,papamac,544.0,5.4%,339xx,FL,9 years,0.0
4000.0,2009-01-06,Evangelist and wife need help,0.0,0%,786xx,TX,1 year,0.0
12000.0,2007-07-27,bmxdmx,0.0,0%,112xx,NY,6 years,0.0
4500.0,2008-03-10,other,643.0,17.8%,338xx,FL,< 1 year,0.0
20000.0,2007-12-29,ghjagman,697.0,37.86%,539xx,WI,3 years,0.0
20000.0,2009-02-18,Kitchen Remodel,737.0,67.43%,970xx,OR,10+ years,0.0
25000.0,2008-11-30,Finding a Lower Rate,667.0,12.62%,891xx,NV,10+ years,0.0
25000.0,2007-10-16,SimpleGirl,507.0,32.59%,770xx,TX,10+ years,0.0
10000.0,2009-04-28,Student Loan,471.0,0%,310xx,GA,4 years,0.0
6000.0,2009-04-09, ,721.0,0%,105xx,NY,10+ years,0.0
10000.0,2008-03-26,debt_consolidation,653.0,20.36%,913xx,CA,< 1 year,0.0
3000.0,2008-02-29,austin6didit,523.0,0%,559xx,MN,2 years,0.0
15000.0,2009-02-06,Recession Smarts,596.0,37.19%,760xx,TX,2 years,0.0
10000.0,2009-04-13,Business Loan for expansion,555.0,44.31%,196xx,PA,2 years,0.0
2500.0,2008-11-22,Payoff Bills,422.0,474.55%,231xx,VA,6 years,0.0
7200.0,2008-02-12,C&C Debt payoff,694.0,9.97%,485xx,MI,10+ years,0.0
1000.0,2008-04-12,personal,552.0,0%,749xx,OK,< 1 year,0.0
4000.0,2009-05-13,Debt Consolidation/Credit Repair,583.0,2.06%,125xx,NY,< 1 year,0.0
1000.0,2008-03-06,lakenyamoore,433.0,460%,705xx,LA,3 years,0.0
2000.0,2009-01-29,Car to get to AmeriCorps location,600.0,47.64%,292xx,SC,1 year,0.0
7000.0,2009-04-09,Paying for my Dog's Surgery,647.0,22.97%,900xx,CA,3 years,0.0
